Unnamed: 0,Topic0: Waste of money,Topic2: Problemas de funcionamiento,Topic6: Falta de metodos de importacion de datos,Topic8: Falta de funciones y de opciones de calidad de vida,Topic12:  Problemas Intalacion nueva version,Dom_Topic
5755,0.04,0.25,0.04,0.04,0.04,2
5756,0.03,0.32,0.03,0.03,0.2,2
5757,0.01,0.69,0.15,0.01,0.03,2
5758,0.02,0.53,0.02,0.02,0.05,2
5759,0.02,0.27,0.02,0.26,0.18,2
5760,0.03,0.24,0.03,0.03,0.19,2
5761,0.01,0.53,0.02,0.02,0.21,2
5762,0.02,0.57,0.02,0.03,0.05,2
5763,0.02,0.42,0.02,0.02,0.14,2
5764,0.03,0.1,0.03,0.03,0.38,12
5765,0.02,0.26,0.02,0.02,0.34,12
5766,0.03,0.41,0.03,0.05,0.04,2
5767,0.02,0.47,0.02,0.02,0.22,2
5768,0.03,0.4,0.03,0.03,0.06,2
5769,0.01,0.7,0.01,0.02,0.05,2
5770,0.02,0.38,0.02,0.03,0.27,2
5771,0.02,0.51,0.02,0.07,0.03,2
5772,0.03,0.23,0.03,0.07,0.15,2
5773,0.01,0.83,0.02,0.01,0.02,2
5774,0.02,0.16,0.02,0.02,0.42,12
5775,0.01,0.61,0.02,0.02,0.11,2
5776,0.02,0.62,0.05,0.02,0.03,2
5777,0.02,0.69,0.02,0.02,0.02,2
5778,0.02,0.43,0.02,0.02,0.29,2
5779,0.01,0.55,0.01,0.24,0.01,2
5780,0.01,0.68,0.04,0.1,0.02,2
5781,0.02,0.46,0.05,0.03,0.08,2
5782,0.01,0.66,0.04,0.03,0.03,2
5783,0.01,0.62,0.01,0.01,0.24,2
5784,0.02,0.43,0.02,0.02,0.24,2
5785,0.02,0.14,0.02,0.03,0.42,12
5786,0.04,0.25,0.04,0.04,0.05,2
5787,0.03,0.49,0.03,0.03,0.04,2
5788,0.03,0.27,0.05,0.04,0.12,2
5789,0.03,0.33,0.03,0.03,0.17,2
5790,0.03,0.37,0.08,0.03,0.03,2
5791,0.03,0.43,0.03,0.03,0.03,2
5792,0.01,0.08,0.01,0.02,0.67,12
5793,0.02,0.57,0.02,0.02,0.05,2
5794,0.01,0.54,0.01,0.28,0.01,2
5795,0.01,0.7,0.01,0.02,0.14,2
5796,0.03,0.04,0.03,0.03,0.48,12
5797,0.05,0.05,0.05,0.05,0.1,12
5798,0.03,0.27,0.03,0.03,0.14,2
5799,0.01,0.68,0.03,0.07,0.02,2
5800,0.03,0.14,0.03,0.03,0.23,12
5801,0.03,0.12,0.03,0.04,0.28,12
5802,0.01,0.51,0.01,0.02,0.26,2
5803,0.01,0.1,0.02,0.01,0.72,12
5804,0.03,0.46,0.03,0.03,0.03,2
5805,0.02,0.53,0.03,0.03,0.04,2
5806,0.04,0.06,0.04,0.04,0.16,12
5807,0.04,0.31,0.04,0.03,0.04,2
5808,0.03,0.46,0.03,0.06,0.03,2
5809,0.03,0.51,0.03,0.02,0.03,2
5810,0.03,0.41,0.03,0.03,0.05,2
5811,0.01,0.71,0.02,0.02,0.03,2
5812,0.02,0.38,0.02,0.02,0.34,2
5813,0.04,0.28,0.04,0.04,0.06,2
5814,0.04,0.17,0.04,0.04,0.05,2
5815,0.05,0.08,0.05,0.05,0.05,2
5816,0.03,0.36,0.03,0.03,0.06,2
5817,0.0,0.6,0.0,0.0,0.01,2
5818,0.05,0.13,0.04,0.04,0.05,2
5819,0.05,0.11,0.05,0.06,0.05,2
5820,0.03,0.26,0.03,0.03,0.19,2
5821,0.01,0.14,0.02,0.01,0.68,12
5822,0.02,0.23,0.02,0.45,0.02,8
5823,0.02,0.61,0.02,0.02,0.1,2
5824,0.01,0.69,0.03,0.01,0.12,2
5825,0.0,0.64,0.01,0.18,0.1,2
5826,0.05,0.05,0.05,0.05,0.05,0
5827,0.04,0.27,0.05,0.05,0.04,2
